file_index,region,r,g,b,color_label
3,1,0.5231,0.58318,0.66937,grey
3,2,0.40055,0.41255,0.43536,grey
3,3,0.12153,0.11097,0.10294,black
3,4,0.22364,0.18298,0.16562000000000002,black
4,1,0.47316,0.5914,0.75207,grey
4,2,0.44248000000000004,0.51384,0.5814699999999999,grey
4,3,0.20001,0.19342,0.17949,black
4,4,0.37528,0.35148,0.34855,grey
5,1,0.5241600000000001,0.65799,0.8375600000000001,blue
5,2,0.44248999999999994,0.52679,0.62259,grey
5,3,0.25913,0.25601,0.24484,black
5,4,0.46468999999999994,0.46628000000000003,0.47603,grey
6,1,0.64764,0.74279,0.8524,grey
6,2,0.47847,0.5443,0.59895,grey
6,3,0.29447,0.28734,0.26383,grey
6,4,0.47698,0.47497,0.47481999999999996,grey
7,1,0.51958,0.64667,0.82596,blue
7,2,0.37635,0.44575,0.54773,grey
7,3,0.30044,0.29827,0.28753,white
7,4,0.5141100000000001,0.52267,0.54168,grey
8,1,0.55778,0.6863,0.8675,blue
8,2,0.42011000000000004,0.48986,0.5763199999999999,grey
8,3,0.32793,0.3279,0.31325,grey
8,4,0.49346,0.50298,0.53123,grey
9,1,0.58208,0.69292,0.8476600000000001,grey
9,2,0.474,0.5403399999999999,0.60125,grey
9,3,0.30377,0.30186999999999997,0.28714,grey
9,4,0.44478,0.45261999999999997,0.47648999999999997,grey
10,1,0.65136,0.75271,0.8734700000000001,grey
10,2,0.48141999999999996,0.54197,0.58711,grey
10,3,0.28231999999999996,0.27810999999999997,0.26488,black
10,4,0.42245,0.42501000000000005,0.44688999999999995,grey
11,1,0.62237,0.71744,0.83224,grey
11,2,0.45135,0.50138,0.53425,grey
11,3,0.24764,0.24075,0.22960999999999998,black
11,4,0.38453000000000004,0.38171,0.39974,grey
12,1,0.5786100000000001,0.66651,0.77687,grey
12,2,0.41733000000000003,0.45675,0.48184,grey
12,3,0.19892,0.19169,0.18579,black
12,4,0.30968,0.30428,0.31722,white
13,1,0.77536,0.8452299999999999,0.91154,grey
13,2,0.52323,0.57935,0.60318,grey
13,3,0.22254000000000002,0.21882,0.21677,black
13,4,0.33846,0.33638,0.35181999999999997,grey
14,1,0.70734,0.75364,0.78797,grey
14,2,0.45511999999999997,0.49173999999999995,0.49772,grey
