3,1,0.5231,0.58318,0.66937
3,2,0.40055,0.41255,0.43536
3,3,0.12153,0.11097,0.10294
3,4,0.22364,0.18298,0.16562
4,1,0.47316,0.5914,0.75207
4,2,0.44248,0.51384,0.58147
4,3,0.20001,0.19342,0.17949
4,4,0.37528,0.35148,0.34855
5,1,0.52416,0.65799,0.83756
5,2,0.44249,0.52679,0.62259
5,3,0.25913,0.25601,0.24484
5,4,0.46469,0.46628,0.47603
6,1,0.64764,0.74279,0.8524
6,2,0.47847,0.5443,0.59895
6,3,0.29447,0.28734,0.26383
6,4,0.47698,0.47497,0.47482
7,1,0.51958,0.64667,0.82596
7,2,0.37635,0.44575,0.54773
7,3,0.30044,0.29827,0.28753
7,4,0.51411,0.52267,0.54168
8,1,0.55778,0.6863,0.8675
8,2,0.42011,0.48986,0.57632
8,3,0.32793,0.3279,0.31325
8,4,0.49346,0.50298,0.53123
9,1,0.58208,0.69292,0.84766
9,2,0.474,0.54034,0.60125
9,3,0.30377,0.30187,0.28714
9,4,0.44478,0.45262,0.47649
10,1,0.65136,0.75271,0.87347
10,2,0.48142,0.54197,0.58711
10,3,0.28232,0.27811,0.26488
10,4,0.42245,0.42501,0.44689
11,1,0.62237,0.71744,0.83224
11,2,0.45135,0.50138,0.53425
11,3,0.24764,0.24075,0.22961
11,4,0.38453,0.38171,0.39974
12,1,0.57861,0.66651,0.77687
12,2,0.41733,0.45675,0.48184
12,3,0.19892,0.19169,0.18579
12,4,0.30968,0.30428,0.31722
13,1,0.77536,0.84523,0.91154
13,2,0.52323,0.57935,0.60318
13,3,0.22254,0.21882,0.21677
13,4,0.33846,0.33638,0.35182
14,1,0.70734,0.75364,0.78797
14,2,0.45512,0.49174,0.49772
14,3,0.17224,0.16853,0.16565
14,4,0.27465,0.2672,0.27682
15,1,0.68081,0.70854,0.72388
15,2,0.42608,0.43906,0.44407
15,3,0.1516,0.14542,0.14472
15,4,0.23823,0.22743,0.23401
16,1,0.59927,0.60872,0.61518
16,2,0.4764,0.47359,0.47392
16,3,0.11251,0.10729,0.10649
16,4,0.14974,0.13984,0.14439
17,1,0.36243,0.35437,0.36585
17,2,0.47007,0.44624,0.40784
17,3,0.11019,0.10344,0.096658
17,4,0.08833,0.083903,0.079113
18,1,0.37139,0.34988,0.35431
18,2,0.44912,0.36905,0.26997
18,3,0.047724,0.046587,0.033067
18,4,0.018195,0.025302,0.01347
19,1,0.54466,0.60615,0.68932
19,2,0.39726,0.40634,0.42514
19,3,0.094927,0.091151,0.088887
19,4,0.13449,0.11904,0.11955
20,1,0.61865,0.71007,0.8142
20,2,0.4568,0.50282,0.54626
20,3,0.22515,0.21249,0.1928
20,4,0.41357,0.38144,0.3662
21,1,0.52378,0.64876,0.80309
21,2,0.42612,0.49443,0.57061
21,3,0.26133,0.25226,0.23306
21,4,0.44993,0.44052,0.43878
22,1,0.49388,0.61929,0.78198
22,2,0.37538,0.43963,0.52426
22,3,0.27056,0.26799,0.2526
22,4,0.44279,0.44806,0.45859
23,1,0.54977,0.66505,0.83078
23,2,0.453,0.52371,0.59993
23,3,0.33897,0.33764,0.31288
23,4,0.50385,0.51106,0.52438
24,1,0.6442,0.73404,0.81624
24,2,0.39074,0.43391,0.47603
24,3,0.23558,0.22768,0.21411
24,4,0.36204,0.35339,0.36379
25,1,0.61529,0.71796,0.834
25,2,0.41681,0.46458,0.51295
25,3,0.25915,0.2467,0.23201
25,4,0.39879,0.38743,0.39608
26,1,0.58402,0.66781,0.76606
26,2,0.4011,0.44117,0.47122
26,3,0.1873,0.18005,0.17326
26,4,0.29149,0.28367,0.29655
27,1,0.76912,0.82077,0.85126
27,2,0.45109,0.48706,0.50507
27,3,0.18774,0.18011,0.17527
27,4,0.30084,0.29209,0.30694
28,1,0.72732,0.77194,0.80422
28,2,0.44076,0.47058,0.47746
28,3,0.19184,0.1832,0.1776
28,4,0.30236,0.294,0.30535
29,1,0.65693,0.736,0.82971
29,2,0.52634,0.57423,0.59164
29,3,0.18854,0.18445,0.18417
29,4,0.277,0.27402,0.28763
30,1,0.64816,0.70881,0.77026
30,2,0.47369,0.51065,0.51952
30,3,0.17238,0.16826,0.16742
30,4,0.27093,0.26399,0.27492
31,1,0.6237,0.67052,0.72176
31,2,0.46489,0.49745,0.50811
31,3,0.15868,0.15338,0.15449
31,4,0.24416,0.2324,0.2427
32,1,0.61341,0.6261,0.62497
32,2,0.44543,0.44459,0.43994
32,3,0.10245,0.098494,0.096928
32,4,0.13439,0.12806,0.12895
33,1,0.39846,0.39167,0.39077
33,2,0.45481,0.43503,0.40334
33,3,0.10163,0.096625,0.090282
33,4,0.077448,0.073997,0.068595
34,1,0.44106,0.43772,0.45565
34,2,0.35622,0.31563,0.28184
34,3,0.044533,0.046976,0.036875
34,4,0.021569,0.028233,0.018325
35,1,0.64311,0.67852,0.71095
35,2,0.40213,0.39985,0.40038
35,3,0.09367,0.09023,0.088231
35,4,0.11224,0.10427,0.10535
36,1,0.59367,0.67171,0.77015
36,2,0.49758,0.53334,0.55526
36,3,0.2304,0.21346,0.19005
36,4,0.41237,0.3726,0.35169
37,1,0.52784,0.65322,0.81883
37,2,0.52685,0.60747,0.67287
37,3,0.28607,0.27644,0.2529
37,4,0.49552,0.48138,0.47283
38,1,0.48757,0.61977,0.80564
38,2,0.43921,0.51658,0.60148
38,3,0.31985,0.31227,0.28649
38,4,0.50457,0.49837,0.50171
39,1,0.5682,0.67502,0.81656
39,2,0.45428,0.51315,0.56947
39,3,0.31208,0.29906,0.27367
39,4,0.46526,0.45256,0.4521
40,1,0.56441,0.66923,0.81363
40,2,0.4612,0.52407,0.57794
40,3,0.34084,0.335,0.30999
40,4,0.5044,0.50675,0.51486
41,1,0.62148,0.73681,0.88197
41,2,0.44951,0.5204,0.58024
41,3,0.33144,0.32903,0.30688
41,4,0.48314,0.49016,0.50639
42,1,0.75623,0.81864,0.88302
42,2,0.49258,0.54195,0.56416
42,3,0.2804,0.27216,0.25444
42,4,0.42322,0.42098,0.43035
43,1,0.76882,0.81584,0.85702
43,2,0.51137,0.54532,0.5444
43,3,0.24036,0.23012,0.21723
43,4,0.36819,0.36162,0.3724
44,1,0.81914,0.85086,0.86774
44,2,0.49619,0.52282,0.5219
44,3,0.19421,0.18612,0.17984
44,4,0.29818,0.28717,0.30019
45,1,0.71354,0.76376,0.8089
45,2,0.47507,0.50581,0.50801
45,3,0.18012,0.17274,0.16842
45,4,0.27434,0.26584,0.27356
46,1,0.77739,0.79301,0.79376
46,2,0.43699,0.44182,0.43847
46,3,0.12602,0.12024,0.1178
46,4,0.18489,0.17038,0.18048
47,1,0.76924,0.77991,0.77871
47,2,0.44215,0.44686,0.44112
47,3,0.12577,0.12123,0.11901
47,4,0.186,0.17352,0.18411
48,1,0.64129,0.64694,0.63872
48,2,0.35942,0.34792,0.34204
48,3,0.074631,0.073934,0.069795
48,4,0.086584,0.086308,0.085746
49,1,0.62275,0.61715,0.6001
49,2,0.32508,0.29132,0.28541
49,3,0.064483,0.064226,0.058753
49,4,0.070959,0.070264,0.069451
50,1,0.57399,0.5675,0.55011
50,2,0.38893,0.32919,0.29252
50,3,0.063015,0.060993,0.054334
50,4,0.060984,0.060157,0.056564
51,1,0.56489,0.61945,0.63813
51,2,0.31056,0.30525,0.30288
51,3,0.11189,0.10369,0.093476
51,4,0.17452,0.15132,0.14173
52,1,0.68068,0.69422,0.68806
52,2,0.36214,0.35954,0.35417
52,3,0.16044,0.14678,0.13702
52,4,0.25881,0.23043,0.23171
